Player,GAMES,INNS,NOT OUTS,RUNS,HIGH SCORE,AVG,50s,100s,STRIKE RATE,OVERS,MAIDENS, RUNS CONCEDED,WICKETS,BEST BOWLING,5 WICKET HAUL,ECONOMY RATE,BOWL STRIKE RATE,BOWL AVERAGE,WICKET KEEPING CATCHES,STUMPINGS,TOTAL WICKET KEEPING WICKETS,FIELDING CATCHES,RUN OUTS,TOTAL FIELDING WICKETS,TOTAL CATCHES,TOTAL VICTIMS,SELECTION,Prediction_Prob
Riley Sayer,20.0,19.0,4.0,487.0,56.0,32.47,4.0,0.0,111.95,57.0,4.0,278.0,8.0,3/4,0.0,4.88,42.75,34.75,0.0,0.0,0.0,8.0,0.0,8.0,8.0,8.0,1,0.9545138478279114
Harry Walker,25.0,22.0,3.0,537.0,138.0,28.26,1.0,1.0,121.85,143.3,7.0,598.0,32.0,4/8,0.0,4.17,26.91,14.1,0.0,0.0,0.0,3.0,0.0,3.0,3.0,3.0,1,0.9484599471092224
Harry Simpson,34.0,26.0,6.0,607.0,97.0,30.35,3.0,1.0,101.16,243.1,15.0,1198.0,47.0,5/36,1.0,4.93,31.04,25.49,0.0,0.0,0.0,20.0,8.0,28.0,20.0,28.0,1,0.9387594699859619
Joel Soppitt,37.0,33.0,4.0,652.0,101.0,22.48,2.0,1.0,80.5,128.5,17.0,526.0,47.0,4/16,0.0,3.93,19.85,13.0,0.0,0.0,0.0,13.0,1.0,14.0,13.0,14.0,1,0.9378238439559936
Joey Hayman,11.0,11.0,3.0,253.0,61.0,38.33,1.0,0.0,129.21,24.0,2.0,131.0,8.0,3/4,0.0,5.46,18.0,16.38,0.0,0.0,0.0,7.0,1.0,8.0,7.0,8.0,1,0.8898534536361694
Jack Hood,30.0,25.0,12.0,583.0,105.0,44.85,3.0,1.0,99.27,99.3,12.0,395.0,29.0,4/10,0.0,3.97,20.59,13.62,0.0,0.0,0.0,6.0,0.0,6.0,6.0,6.0,1,0.8730095863342285
Henry Wilds,20.0,18.0,2.0,412.0,52.0,25.75,1.0,0.0,102.13,61.2,3.0,346.0,15.0,4/33,0.0,5.64,24.53,23.07,0.0,0.0,0.0,8.0,0.0,8.0,8.0,8.0,1,0.8400884866714478
Luke Frankland,20.0,19.0,4.0,448.0,75.0,28.0,4.0,0.0,49.87,40.1,5.0,182.0,6.0,2/14,0.0,3.52,19.49,11.43,0.0,0.0,0.0,7.0,1.0,8.0,7.0,8.0,1,0.8284029245376587
Sam Hood,44.0,38.0,16.0,703.0,87.0,31.95,4.0,0.0,74.71,155.1,14.0,693.0,33.0,4/25,0.0,4.47,28.21,21.0,0.0,0.0,0.0,11.0,4.0,15.0,11.0,15.0,1,0.8184133410453797
Bertie Morris,44.0,35.0,5.0,775.0,55.0,25.83,7.0,0.0,102.79,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,1,0.815544867515564
Josh Lane,44.0,40.0,8.0,993.0,107.0,31.03,5.0,1.0,73.25,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,11.0,7.0,18.0,1.0,5.0,6.0,12.0,24.0,1,0.7964474320411682
Matthew King,45.0,38.0,3.0,491.0,52.0,14.03,1.0,0.0,55.91,84.4,4.0,465.0,25.0,5/5,1.0,5.49,22.82,20.16,0.0,1.0,1.0,0.0,6.0,0.0,16.0,23.0,1,0.7819706797599792
Rhys Curtis,43.0,39.0,11.0,805.0,68.0,28.75,5.0,0.0,99.13,66.1,2.0,356.0,13.0,3/20,0.0,5.38,30.54,27.38,0.0,0.0,0.0,12.0,2.0,14.0,12.0,14.0,1,0.7812610983848571
Oliver Jenkins,55.0,33.0,5.0,614.0,51.0,21.93,3.0,0.0,74.7,223.2,20.0,1065.0,58.0,5/24,3.0,4.77,23.1,18.36,0.0,0.0,0.0,14.0,1.0,15.0,14.0,15.0,1,0.770324993133545
Leo Rokk,25.0,15.0,7.0,241.0,51.0,30.13,2.0,0.0,108.56,79.0,8.0,366.0,26.0,3/7,0.0,4.63,18.23,14.08,0.0,0.0,0.0,8.0,3.0,11.0,8.0,11.0,1,0.7287030696868897
Henry Burns,12.0,7.0,3.0,57.0,18.0,14.25,0.0,0.0,135.71,29.1,0.0,169.0,8.0,2/13,0.0,4.62,20.96,16.14,0.0,0.0,0.0,3.0,1.0,4.0,3.0,4.0,1,0.704546082019806
Myles Price,74.0,68.0,10.0,1469.0,83.0,25.33,7.0,0.0,141.81,196.2,21.0,957.0,45.0,4/15,0.0,4.41,26.19,19.27,0.0,0.0,0.0,22.0,6.0,28.0,22.0,28.0,1,0.6647231459617615
Xavier Lockey,44.0,39.0,15.0,959.0,92.0,39.96,8.0,0.0,62.52,5.0,0.0,21.0,0.0,0,0.0,4.2,0.0,0.0,30.0,8.0,38.0,0.0,0.0,0.0,30.0,38.0,1,0.588897979259491
Alfie Blenkiron,52.0,47.0,15.0,1281.0,105.0,40.03,8.0,1.0,74.21,147.2,14.0,788.0,24.0,4/39,0.0,4.68,29.4,22.92,0.0,0.0,0.0,8.0,2.0,10.0,8.0,10.0,1,0.4730133354663849
Christopher Bennett,61.0,58.0,11.0,1197.0,100.0,25.47,10.0,1.0,107.16,146.2,11.0,750.0,37.0,5/34,1.0,5.13,23.73,20.27,0.0,0.0,0.0,15.0,1.0,16.0,15.0,16.0,0,0.39200868606567385
